Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S40785575,mlb,2014/09/08,$20K Mon MLB Squeeze,$35k,40,,2632,11054,Tournament,2,0,https://www.fanduel.com/entry/FBXPHHCWV,
S40785569,mlb,2014/09/08,$20K Mon MLB Squeeze,$35k,42,,1934,11054,Tournament,2,0,https://www.fanduel.com/entry/FFDAFHWJX,
S40781739,mlb,2014/09/08,$300 Mon MLB Mini Bunt,$35k,30.75,,181,281,Tournament,1,0,https://www.fanduel.com/entry/EVMTIMTWZ,
S40781294,mlb,2014/09/08,$1500 Mon MLB Single,$35k,37.25,,107,335,Tournament,5,0,https://www.fanduel.com/entry/DPYLPEERH,
S40766691,mlb,2014/09/08,MLB Head-to-head (Late),$35k,37.25,39.25,2,2,bkmhoprah,1,0,https://www.fanduel.com/entry/DROEJQOHD,
S40766692,mlb,2014/09/08,MLB Head-to-head (Late),$35k,37.25,39,2,2,mojoboater,2,0,https://www.fanduel.com/entry/DRAGWZCJH,
S40766693,mlb,2014/09/08,MLB Head-to-head (Late),$35k,30.75,35.25,2,2,bmills37,2,0,https://www.fanduel.com/entry/DQMJKHQLL,
S40766694,mlb,2014/09/08,MLB Head-to-head (Late),$35k,42,39,1,2,bulldawgs101,2,3.60,https://www.fanduel.com/entry/DUFRUZVWJ,
S40766695,mlb,2014/09/08,MLB Head-to-head (Late),$35k,30.75,35.5,2,2,lasvegasblvd,2,0,https://www.fanduel.com/entry/DTRUIIJYN,
S40766696,mlb,2014/09/08,MLB Head-to-head (Late),$35k,30.75,19.41,1,2,otbdel97,2,3.60,https://www.fanduel.com/entry/DTDWVQYAR,
S40766697,mlb,2014/09/08,MLB Head-to-head (Late),$35k,30.75,31,2,2,huzrfan,5,0,https://www.fanduel.com/entry/DSPZIZMCV,
S40766698,mlb,2014/09/08,MLB Head-to-head (Late),$35k,30.75,32,2,2,cjkalt,5,0,https://www.fanduel.com/entry/DNUVYYIWF,
S40766699,mlb,2014/09/08,MLB Head-to-head (Late),$35k,30.75,41.75,2,2,blizzard20,5,0,https://www.fanduel.com/entry/DNGYMGWYJ,
S40766700,mlb,2014/09/08,MLB Head-to-head (Late),$35k,37.25,34.5,1,2,mhendo,5,9.00,https://www.fanduel.com/entry/DMTAZPLAN,
S40766701,mlb,2014/09/08,MLB Head-to-head (Late),$35k,42,31,1,2,airhole27,5,9.00,https://www.fanduel.com/entry/DMFDMXZCR,
S40766686,mlb,2014/09/08,MLB Head-to-head (Late),$35k,42,33.25,1,2,jimmyrad,1,1.80,https://www.fanduel.com/entry/DYMXSJNFD,
S40766687,mlb,2014/09/08,MLB Head-to-head (Late),$35k,42,31.75,1,2,charliebob10,1,1.80,https://www.fanduel.com/entry/DXZAFSBHH,
S40766688,mlb,2014/09/08,MLB Head-to-head (Late),$35k,30.75,35,2,2,postalduel ,1,0,https://www.fanduel.com/entry/DWXFGJDLP,
S40766690,mlb,2014/09/08,MLB Head-to-head (Late),$35k,30.75,21.25,1,2,the_great_gaxby,1,1.80,https://www.fanduel.com/entry/DSCBWIAEZ,
S40766354,mlb,2014/09/08,MLB 50/50 League (Late),$35k,30.75,,30,40,40 player league,5,0,https://www.fanduel.com/entry/EAQNQXPXX,
S40766343,mlb,2014/09/08,MLB 50/50 League (Late),$35k,30.75,,31,40,40 player league,5,0,https://www.fanduel.com/entry/EKURXRIIZ,
S40766336,mlb,2014/09/08,MLB 50/50 League (Late),$35k,42,,12,40,40 player league,5,9.00,https://www.fanduel.com/entry/EOOAIJNTX,
S40766306,mlb,2014/09/08,$500 Mon MLB Double Up ($5),$35k,42,,18,112,Tournament,5,10.00,https://www.fanduel.com/entry/BBQLMQURX,
S40766289,mlb,2014/09/08,$900 Mon MLB Triple Up ($5),$35k,30.75,,137,201,Tournament,5,0,https://www.fanduel.com/entry/AGUFMLXXX,
S40766277,mlb,2014/09/08,$2500 Mon MLB Bunt,$35k,42,,395,2790,Tournament,1,2.50,https://www.fanduel.com/entry/AIXVLDTPH,
S40766266,mlb,2014/09/08,$20K Mon MLB Squeeze,$35k,30.75,,6821,11054,Tournament,2,0,https://www.fanduel.com/entry/AOUTUNURP,
S40766263,mlb,2014/09/08,$20K Mon MLB Squeeze,$35k,37.25,,3804,11054,Tournament,2,0,https://www.fanduel.com/entry/CCXNIXEMB,
S40766259,mlb,2014/09/08,$20K Mon MLB Squeeze,$35k,42.75,,1715,11054,Tournament,2,5.00,https://www.fanduel.com/entry/CATXKFIUR,
S40766254,mlb,2014/09/08,$20K Mon MLB Squeeze,$35k,33,,5792,11054,Tournament,2,0,https://www.fanduel.com/entry/CHSQSYHSR,
S40765740,mlb,2014/09/08,$20K Mon MLB Squeeze,$35k,42,,1934,11054,Tournament,2,0,https://www.fanduel.com/entry/CENFVFACV,
S40537774,nfl,2014/09/07,$500 Sun NFL Double Up ($5),$60k,122.26,,25,112,Tournament,5,10.00,https://www.fanduel.com/entry/EUKXZGOTH,
S40523962,nfl,2014/09/07,NFL Head-to-head,$60k,122.26,88.36,1,2,toh2a,1,1.80,https://www.fanduel.com/entry/ESHIMXKMV,
S40523964,nfl,2014/09/07,NFL Head-to-head,$60k,122.26,107.36,1,2,ivar331,1,1.80,https://www.fanduel.com/entry/DESMLFMQF,
S40523966,nfl,2014/09/07,NFL Head-to-head,$60k,122.26,108.34,1,2,2_good_4_you,1,1.80,https://www.fanduel.com/entry/DHJZWOUFL,
S40523968,nfl,2014/09/07,NFL Head-to-head,$60k,122.26,110.06,1,2,rmb25,1,1.80,https://www.fanduel.com/entry/DFUHKOKLX,
S40523972,nfl,2014/09/07,NFL Head-to-head,$60k,122.26,96.44,1,2,legomangus,2,3.60,https://www.fanduel.com/entry/DAZEANHFH,
S40523973,nfl,2014/09/07,NFL Head-to-head,$60k,122.26,113.44,1,2,hartabba,2,3.60,https://www.fanduel.com/entry/DALGNVVHL,
S40490538,mlb,2014/09/07,MLB Head-to-head,$35k,65,40.16,1,2,czap,1,1.80,https://www.fanduel.com/entry/CKYCCWNVH,
S40490541,mlb,2014/09/07,MLB Head-to-head,$35k,65,39.58,1,2,kylewwolfe,2,3.60,https://www.fanduel.com/entry/CFPBGDYQV,
S40490543,mlb,2014/09/07,MLB Head-to-head,$35k,54.58,44.66,1,2,ianthepeon,2,3.60,https://www.fanduel.com/entry/CENGGVAVD,
S40490544,mlb,2014/09/07,MLB Head-to-head,$35k,65,31.08,1,2,psmit118,2,3.60,https://www.fanduel.com/entry/CDZIUDOXH,
S40490546,mlb,2014/09/07,MLB Head-to-head,$35k,65,22.75,1,2,nicksgour,5,9.00,https://www.fanduel.com/entry/CHETSEIKJ,
S40490548,mlb,2014/09/07,MLB Head-to-head,$35k,54.58,37,1,2,jefftolsma,5,9.00,https://www.fanduel.com/entry/CGCYSVKOR,
S40490549,mlb,2014/09/07,MLB Head-to-head,$35k,65,56.75,1,2,akldraft,5,9.00,https://www.fanduel.com/entry/CAGAJLJMJ,
S40490533,mlb,2014/09/07,MLB Head-to-head,$35k,65,49.58,1,2,bladow,1,1.80,https://www.fanduel.com/entry/CJIJQWEBT,
S40490536,mlb,2014/09/07,MLB Head-to-head,$35k,54.58,46.5,1,2,terru,1,1.80,https://www.fanduel.com/entry/CIGORNGGB,
S40490313,mlb,2014/09/07,$500 Sun MLB Double Up ($5),$35k,65,,9,112,Tournament,5,10.00,https://www.fanduel.com/entry/AIXVXMLAR,
S40490201,mlb,2014/09/07,$2500 Sun MLB Multi-Entry Double Up ($5),$35k,65,,30,545,Tournament,5,10.00,https://www.fanduel.com/entry/CUOIXJZEJ,
S40490190,mlb,2014/09/07,$2500 Sun MLB Multi-Entry Double Up ($5),$35k,65,,30,545,Tournament,5,10.00,https://www.fanduel.com/entry/CWEBJKIXX,
S40490183,mlb,2014/09/07,$2500 Sun MLB Multi-Entry Double Up ($5),$35k,65,,30,545,Tournament,5,10.00,https://www.fanduel.com/entry/CZXJUCOIV,
S40490164,mlb,2014/09/07,$2500 Sun MLB Multi-Entry Double Up ($5),$35k,54.58,,123,545,Tournament,5,10.00,https://www.fanduel.com/entry/EWOPDFGUV,
S40490156,mlb,2014/09/07,$2500 Sun MLB Multi-Entry Double Up ($5),$35k,54.58,,123,545,Tournament,5,10.00,https://www.fanduel.com/entry/FAVVAOYDP,
S40490115,mlb,2014/09/07,$8K Sun MLB Squeeze,$35k,65,,147,4469,Tournament,2,13.60,https://www.fanduel.com/entry/EOOAVDKBD,
S40490087,mlb,2014/09/07,$8K Sun MLB Squeeze,$35k,54.58,,602,4469,Tournament,2,0,https://www.fanduel.com/entry/BAOQZMVIZ,
S40490067,mlb,2014/09/07,$8K Sun MLB Squeeze,$35k,73.41,,33,4469,Tournament,2,24.00,https://www.fanduel.com/entry/AHIDLIIIN,
S40490049,mlb,2014/09/07,$8K Sun MLB Squeeze,$35k,56.58,,468,4469,Tournament,2,6.00,https://www.fanduel.com/entry/AQYKFKOVT,
S40489868,mlb,2014/09/07,$8K Sun MLB Squeeze,$35k,41.75,,1867,4469,Tournament,2,0,https://www.fanduel.com/entry/EJSXKYNVX,
S40269396,mlb,2014/09/06,MLB Head-to-head (Late),$35k,38.41,32,1,2,dfdub,1,1.80,https://www.fanduel.com/entry/AGUFBKVAV,
S40269397,mlb,2014/09/06,MLB Head-to-head (Late),$35k,47.75,31.41,1,2,ck1944,1,1.80,https://www.fanduel.com/entry/ABZBRJRUF,
S40269398,mlb,2014/09/06,MLB Head-to-head (Late),$35k,38.41,30.41,1,2,ck1944,1,1.80,https://www.fanduel.com/entry/ABLEESFWJ,
S40269399,mlb,2014/09/06,MLB Head-to-head (Late),$35k,36.75,43.91,2,2,lasvegasblvd,2,0,https://www.fanduel.com/entry/AAJJFJIAR,
S40269401,mlb,2014/09/06,MLB Head-to-head (Late),$35k,36.75,50.41,2,2,georgesteele,2,0,https://www.fanduel.com/entry/ADOUDKBNT,
S40269403,mlb,2014/09/06,MLB Head-to-head (Late),$35k,38.41,50.41,2,2,georgesteele,2,0,https://www.fanduel.com/entry/BFXQYZJDP,
S40269406,mlb,2014/09/06,MLB Head-to-head (Late),$35k,38.41,47,2,2,thedraftcompany,5,0,https://www.fanduel.com/entry/BFJTMHXFT,
S40269407,mlb,2014/09/06,MLB Head-to-head (Late),$35k,36.75,35.41,1,2,sloves,5,9.00,https://www.fanduel.com/entry/BIBGXREUZ,
S40269410,mlb,2014/09/06,MLB Head-to-head (Late),$35k,36.75,41.41,2,2,lasvegasblvd,5,0,https://www.fanduel.com/entry/BHNJKZSXD,
S40269147,mlb,2014/09/06,$25K Sat MLB Squeeze,$35k,36.75,,2978,9394,Tournament,2,0,https://www.fanduel.com/entry/ADAWRDULT,
S40269137,mlb,2014/09/06,$25K Sat MLB Squeeze,$35k,47.75,,707,9394,Tournament,2,5.00,https://www.fanduel.com/entry/AIJXNWJQF,
S40222989,mlb,2014/09/06,$750 Sat MLB Triple Up ($5),$35k,38.41,,55,119,Tournament,5,0,https://www.fanduel.com/entry/BOMDTZBBT,
S40222973,mlb,2014/09/06,$3500 Sat MLB Multi-Entry Double Up ($5),$35k,38.41,,296,659,Tournament,5,10.00,https://www.fanduel.com/entry/BXAPOSJTH,
S40222967,mlb,2014/09/06,$3500 Sat MLB Multi-Entry Double Up ($5),$35k,38.41,,296,659,Tournament,5,10.00,https://www.fanduel.com/entry/DILVRSLYN,
S40222961,mlb,2014/09/06,$3500 Sat MLB Multi-Entry Double Up ($5),$35k,47.75,,151,659,Tournament,5,10.00,https://www.fanduel.com/entry/DPYMNCWUJ,
S40222955,mlb,2014/09/06,$3500 Sat MLB Multi-Entry Double Up ($5),$35k,36.75,,354,659,Tournament,5,0,https://www.fanduel.com/entry/DTDXLDQHL,
S40222949,mlb,2014/09/06,$3500 Sat MLB Multi-Entry Double Up ($5),$35k,36.75,,354,659,Tournament,5,0,https://www.fanduel.com/entry/DSCCLUSLT,
S40222915,mlb,2014/09/06,$25K Sat MLB Squeeze,$35k,36.41,,3092,9394,Tournament,2,0,https://www.fanduel.com/entry/DGIFTAQHD,
S40222912,mlb,2014/09/06,$25K Sat MLB Squeeze,$35k,36.75,,2978,9394,Tournament,2,0,https://www.fanduel.com/entry/DDQSHRIRX,
S40222906,mlb,2014/09/06,$25K Sat MLB Squeeze,$35k,36.75,,2978,9394,Tournament,2,0,https://www.fanduel.com/entry/ETJEIBCFX,
S40222899,mlb,2014/09/06,$25K Sat MLB Squeeze,$35k,38.41,,2514,9394,Tournament,2,0,https://www.fanduel.com/entry/EXCMSTHQV,
S40222895,mlb,2014/09/06,$25K Sat MLB Squeeze,$35k,38.41,,2514,9394,Tournament,2,0,https://www.fanduel.com/entry/EUYWUBLZL,
S40222864,mlb,2014/09/06,$3K Sat MLB Bunt,$35k,38.41,,595,2592,Tournament,1,2.50,https://www.fanduel.com/entry/EDIBRXISN,
S39816657,mlb,2014/09/04,MLB Head-to-head,$35k,27,26.08,1,2,solutiondown,1,1.80,https://www.fanduel.com/entry/CVQCRIHRK,
S39816658,mlb,2014/09/04,MLB Head-to-head,$35k,27,35.5,2,2,austin60915,1,0,https://www.fanduel.com/entry/CVCFEQVTO,
S39816659,mlb,2014/09/04,MLB Head-to-head,$35k,27,18.58,1,2,mike5754,1,1.80,https://www.fanduel.com/entry/CYVNPJBEM,
S39816660,mlb,2014/09/04,MLB Head-to-head,$35k,27,22.75,1,2,ravacious,1,1.80,https://www.fanduel.com/entry/CXTSQADIU,
S39816661,mlb,2014/09/04,MLB Head-to-head,$35k,27,12.58,1,2,bladow,1,1.80,https://www.fanduel.com/entry/CXFVDIRKY,
S39816663,mlb,2014/09/04,MLB Head-to-head,$35k,27,25,1,2,dfdub,2,3.60,https://www.fanduel.com/entry/CRIWTYQIQ,
S39816666,mlb,2014/09/04,MLB Head-to-head,$35k,27,30,2,2,cartra2004,2,0,https://www.fanduel.com/entry/CQUZHHEKU,
S39816667,mlb,2014/09/04,MLB Head-to-head,$35k,27,22.83,1,2,pledge6,2,3.60,https://www.fanduel.com/entry/CUOHRZJVS,
S39816668,mlb,2014/09/04,MLB Head-to-head,$35k,21.33,22.83,2,2,pledge6,2,0,https://www.fanduel.com/entry/CTMMSQMAA,
S39816670,mlb,2014/09/04,MLB Head-to-head,$35k,21.33,26.5,2,2,ineedmoney23,2,0,https://www.fanduel.com/entry/CSYPFZACE,
S39816671,mlb,2014/09/04,MLB Head-to-head,$35k,27,50.25,2,2,staincleaner,5,0,https://www.fanduel.com/entry/DWJHAXFNS,
S39816672,mlb,2014/09/04,MLB Head-to-head,$35k,27,19.58,1,2,wahoo27,5,9.00,https://www.fanduel.com/entry/DVVJOFTPW,
S39816673,mlb,2014/09/04,MLB Head-to-head,$35k,27,32.5,2,2,nachoron,5,0,https://www.fanduel.com/entry/DVHMBOHSA,
S39816674,mlb,2014/09/04,MLB Head-to-head,$35k,21.33,30.58,2,2,dustydusky,5,0,https://www.fanduel.com/entry/DUTOOWVUE,
S39816675,mlb,2014/09/04,MLB Head-to-head,$35k,21.33,26.33,2,2,balls_deep1,5,0,https://www.fanduel.com/entry/DYMWZPBFC,
S39741920,mlb,2014/09/04,$2500 Thu MLB Multi-Entry Double Up ($5),$35k,27,,187,558,Tournament,5,10.00,https://www.fanduel.com/entry/DVVJTJZSB,
S39741901,mlb,2014/09/04,$1K Thu MLB Double Up ($5),$35k,27,,67,223,Tournament,5,10.00,https://www.fanduel.com/entry/DCAYSOATT,
S39741897,mlb,2014/09/04,$1K Thu MLB Double Up ($5),$35k,27,,66,223,Tournament,5,10.00,https://www.fanduel.com/entry/CZXITWFCJ,
S39741885,mlb,2014/09/04,$1K Thu MLB Double Up ($5),$35k,21.33,,133,223,Tournament,5,0,https://www.fanduel.com/entry/ESVFSGSDL,
S39741882,mlb,2014/09/04,$1K Thu MLB Double Up ($5),$35k,21.33,,139,223,Tournament,5,0,https://www.fanduel.com/entry/EQDSGXKOF,
S39741870,mlb,2014/09/04,$2500 Thu MLB Multi-Entry Double Up ($5),$35k,27,,187,558,Tournament,5,10.00,https://www.fanduel.com/entry/FAVUAIOXD,
S39741864,mlb,2014/09/04,$2500 Thu MLB Multi-Entry Double Up ($5),$35k,27,,187,558,Tournament,5,10.00,https://www.fanduel.com/entry/EZTZAZRBL,
S39741857,mlb,2014/09/04,$2500 Thu MLB Multi-Entry Double Up ($5),$35k,27,,187,558,Tournament,5,10.00,https://www.fanduel.com/entry/FDNHLRWMJ,
S39741852,mlb,2014/09/04,$2500 Thu MLB Multi-Entry Double Up ($5),$35k,21.33,,326,558,Tournament,5,0,https://www.fanduel.com/entry/ECUDCCYQB,
S39741845,mlb,2014/09/04,$2500 Thu MLB Multi-Entry Double Up ($5),$35k,21.33,,326,558,Tournament,5,0,https://www.fanduel.com/entry/EFZOADSDD,
S39741827,mlb,2014/09/04,$18K Thu MLB Squeeze,$35k,27,,4790,10055,Tournament,2,0,https://www.fanduel.com/entry/EPPUUFYQJ,
S39741816,mlb,2014/09/04,$18K Thu MLB Squeeze,$35k,21.33,,7275,10055,Tournament,2,0,https://www.fanduel.com/entry/ASOBRTNDH,
S39741822,mlb,2014/09/04,$18K Thu MLB Squeeze,$35k,29.33,,3829,10055,Tournament,2,0,https://www.fanduel.com/entry/AUDUDTWWV,
S39741812,mlb,2014/09/04,$18K Thu MLB Squeeze,$35k,22.50,,6804,10055,Tournament,2,0,https://www.fanduel.com/entry/AYYXNVADL,
S39741809,mlb,2014/09/04,$18K Thu MLB Squeeze,$35k,12.58,,9591,10055,Tournament,2,0,https://www.fanduel.com/entry/AWHKCLSOF,
S39741781,mlb,2014/09/04,$2K Thu MLB Bunt,$35k,27,,1050,2234,Tournament,1,0,https://www.fanduel.com/entry/AHICLQWWN,
S39584300,mlb,2014/09/03,MLB 50/50 League (Late),$35k,51.75,,2,40,Tournament,5,9.00,https://www.fanduel.com/entry/CLZWVXKAD,
S39584255,mlb,2014/09/03,MLB 50/50 League (Late),$35k,51.75,,2,80,Tournament,1,1.80,https://www.fanduel.com/entry/DKBNUDAHF,
S39584241,mlb,2014/09/03,MLB 50/50 League (Late),$35k,40.25,,10,80,Tournament,1,1.80,https://www.fanduel.com/entry/DNGYSDTUH,
S39583656,mlb,2014/09/03,MLB Head-to-head (Late),$35k,40.25,23.25,1,2,travis1975,1,1.80,https://www.fanduel.com/entry/FAHXHLRQH,
S39583657,mlb,2014/09/03,MLB Head-to-head (Late),$35k,40.25,12.75,1,2,halman,2,3.60,https://www.fanduel.com/entry/EZTZUUFSL,
S39583658,mlb,2014/09/03,MLB Head-to-head (Late),$35k,51.75,34.75,1,2,lasvegasblvd,2,3.60,https://www.fanduel.com/entry/EYSEVLHWT,
S39583659,mlb,2014/09/03,MLB Head-to-head (Late),$35k,51.75,27.66,1,2,skeetz13,2,3.60,https://www.fanduel.com/entry/FCLNGDNHR,
S39583661,mlb,2014/09/03,MLB Head-to-head (Late),$35k,40.25,20.75,1,2,smadog,2,3.60,https://www.fanduel.com/entry/FBXPTMBJV,
S39583662,mlb,2014/09/03,MLB Head-to-head (Late),$35k,51.75,23.25,1,2,birdwings,2,3.60,https://www.fanduel.com/entry/FBJSGUPLZ,
S39583663,mlb,2014/09/03,MLB Head-to-head (Late),$35k,40.25,28.75,1,2,justinkd43,5,9.00,https://www.fanduel.com/entry/FAVUUDDOD,
S39583664,mlb,2014/09/03,MLB Head-to-head (Late),$35k,51.75,52.25,2,2,sloves,5,0,https://www.fanduel.com/entry/EWARKCAHN,
S39583665,mlb,2014/09/03,MLB Head-to-head (Late),$35k,51.75,21.25,1,2,wolfofcrushstreet,5,9.00,https://www.fanduel.com/entry/EUYWKTCLV,
S39583667,mlb,2014/09/03,MLB Head-to-head (Late),$35k,40.25,24.25,1,2,csuram88,5,9.00,https://www.fanduel.com/entry/EUKYYBQNZ,
S39583668,mlb,2014/09/03,MLB Head-to-head (Late),$35k,51.75,37.5,1,2,crazygabey,5,9.00,https://www.fanduel.com/entry/EXQJWCKBB,
S39583652,mlb,2014/09/03,MLB Head-to-head (Late),$35k,40.25,26.91,1,2,dartjeff,1,1.80,https://www.fanduel.com/entry/FGSTDNEQL,
S39583653,mlb,2014/09/03,MLB Head-to-head (Late),$35k,40.25,18.75,1,2,shadow_boxer222,1,1.80,https://www.fanduel.com/entry/FGEVQVSSP,
S39583654,mlb,2014/09/03,MLB Head-to-head (Late),$35k,51.75,30.5,1,2,mike5754,1,1.80,https://www.fanduel.com/entry/FFQYEEGUT,
S39583655,mlb,2014/09/03,MLB Head-to-head (Late),$35k,51.75,30,1,2,klubering_the_competition,1,1.80,https://www.fanduel.com/entry/FFDARMUWX,
S39583413,mlb,2014/09/03,$500 Wed MLB Mini Squeeze #4,$35k,51.75,,5,279,Tournament,2,24.00,https://www.fanduel.com/entry/EXQJWNOWX,
S39411902,mlb,2014/09/03,Bronze FDP Freeroll,$35k,40.25,,438,3478,Tournament,0,0,https://www.fanduel.com/entry/EQRPZTFFA,
S39411884,mlb,2014/09/03,Silver FDP Freeroll,$35k,51.75,,32,1507,Tournament,0,15.00,https://www.fanduel.com/entry/FAHWTVLSG,
S39411785,mlb,2014/09/03,Gold FDP Freeroll,$35k,40.25,,105,758,Tournament,0,0,https://www.fanduel.com/entry/AQKLYRCKK,
S39406029,mlb,2014/09/02,$1K Tue MLB Squeeze #4,$35k,22.75,,438,558,Tournament,2,0,https://www.fanduel.com/entry/DALGLCZIK,
S39389242,mlb,2014/09/02,MLB Head-to-head,$35k,17.33,36,2,2,moist,1,0,https://www.fanduel.com/entry/CGQVTTCWS,
S39389243,mlb,2014/09/02,MLB Head-to-head,$35k,17.33,37.75,2,2,texb,1,0,https://www.fanduel.com/entry/CGCYHBQYW,
S39389244,mlb,2014/09/02,MLB Head-to-head,$35k,17.33,52.5,2,2,rumble55,1,0,https://www.fanduel.com/entry/CBHUXANSG,
S39389245,mlb,2014/09/02,MLB Head-to-head,$35k,17.33,35.83,2,2,sixfigee,1,0,https://www.fanduel.com/entry/CATXKJBUK,
S39389246,mlb,2014/09/02,MLB Head-to-head,$35k,17.33,23.91,2,2,sallydebaines,2,0,https://www.fanduel.com/entry/CAFZXRPWO,
S39389247,mlb,2014/09/02,MLB Head-to-head,$35k,19.75,61.25,2,2,muehlman,2,0,https://www.fanduel.com/entry/BZSCLADYS,
S39389248,mlb,2014/09/02,MLB Head-to-head,$35k,14.83,36,2,2,dolphfan65,2,0,https://www.fanduel.com/entry/CDLKVSJJQ,
S39389249,mlb,2014/09/02,MLB Head-to-head,$35k,14.83,30.75,2,2,spidey_85,2,0,https://www.fanduel.com/entry/CCXNJAXLU,
S39389250,mlb,2014/09/02,MLB Head-to-head,$35k,19.75,43.08,2,2,gateman07,2,0,https://www.fanduel.com/entry/CBVSJRZQC,
S39389252,mlb,2014/09/02,MLB Head-to-head,$35k,17.33,22.5,2,2,archercrew5,5,0,https://www.fanduel.com/entry/AOUTURNRI,
S39389253,mlb,2014/09/02,MLB Head-to-head,$35k,17.33,34.75,2,2,zachdaddy,5,0,https://www.fanduel.com/entry/AOGWIABTM,
S39389254,mlb,2014/09/02,MLB Head-to-head,$35k,14.83,22.91,2,2,dxthegame415,5,0,https://www.fanduel.com/entry/ANSYVIPVQ,
S39389255,mlb,2014/09/02,MLB Head-to-head,$35k,14.83,39.75,2,2,nexus,5,0,https://www.fanduel.com/entry/AQYJTJJIS,
S39389257,mlb,2014/09/02,MLB Head-to-head,$35k,17.33,37.08,2,2,crazygabey,5,0,https://www.fanduel.com/entry/AQKMGRXKW,
S39389240,mlb,2014/09/02,MLB Head-to-head,$35k,17.33,40.58,2,2,badboy1984,1,0,https://www.fanduel.com/entry/CHETGKOUO,
S39389061,mlb,2014/09/02,$5K Tue MLB Multi-Entry Double Up ($5),$35k,17.33,,1010,1115,Tournament,5,0,https://www.fanduel.com/entry/EMYHWYBVY,
S39389052,mlb,2014/09/02,$5K Tue MLB Multi-Entry Double Up ($5),$35k,17.33,,1010,1115,Tournament,5,0,https://www.fanduel.com/entry/ATBZSMJVY,
S39389031,mlb,2014/09/02,$1K Tue MLB Double Up ($5),$35k,14.83,,221,223,Tournament,5,0,https://www.fanduel.com/entry/BEHYYPACS,
S39389022,mlb,2014/09/02,$1K Tue MLB Double Up ($5),$35k,17.33,,217,223,Tournament,5,0,https://www.fanduel.com/entry/AAXHDQURE,
S39389014,mlb,2014/09/02,$1K Tue MLB Double Up ($5),$35k,19.75,,207,223,Tournament,5,0,https://www.fanduel.com/entry/AFENBALZY,
S39389005,mlb,2014/09/02,$300 Tue MLB Mini Bunt #3,$35k,17.33,,298,335,Tournament,1,0,https://www.fanduel.com/entry/AJZQLBPGO,
S39389001,mlb,2014/09/02,$2K Tue MLB Squeeze #3,$35k,14.83,,1050,1116,Tournament,2,0,https://www.fanduel.com/entry/AQKMHDCGS,
S39389000,mlb,2014/09/02,$2K Tue MLB Squeeze #3,$35k,19.75,,947,1116,Tournament,2,0,https://www.fanduel.com/entry/AQYJTUOEO,
S39388995,mlb,2014/09/02,$2K Tue MLB Squeeze #3,$35k,28.50,,687,1116,Tournament,2,0,https://www.fanduel.com/entry/CBVSKDELY,
S39388992,mlb,2014/09/02,$2K Tue MLB Squeeze #3,$35k,17.33,,1013,1116,Tournament,2,0,https://www.fanduel.com/entry/CDLKWDOFM,
S39388988,mlb,2014/09/02,$2K Tue MLB Squeeze #3,$35k,33.50,,511,1116,Tournament,2,0,https://www.fanduel.com/entry/CBHUXLSOC,
S39388980,mlb,2014/09/02,$5K Tue MLB Multi-Entry Double Up ($5),$35k,19.75,,983,1115,Tournament,5,0,https://www.fanduel.com/entry/CFPAUVJWW,
S39388971,mlb,2014/09/02,$5K Tue MLB Multi-Entry Double Up ($5),$35k,19.75,,983,1115,Tournament,5,0,https://www.fanduel.com/entry/CORKCGEMG,
S39388966,mlb,2014/09/02,$5K Tue MLB Multi-Entry Double Up ($5),$35k,17.33,,1010,1115,Tournament,5,0,https://www.fanduel.com/entry/CNBRQFUSS,
S39388959,mlb,2014/09/02,$5K Tue MLB Multi-Entry Double Up ($5),$35k,14.83,,1039,1115,Tournament,5,0,https://www.fanduel.com/entry/BIPEVYRLM,
S39388911,mlb,2014/09/02,$5K Tue MLB Multi-Entry Double Up ($5),$35k,14.83,,1039,1115,Tournament,5,0,https://www.fanduel.com/entry/DQMJLEAEG,
S39239954,mlb,2014/09/01,$1K Mon MLB Squeeze #2 (Late Afternoon),$35k,42.75,,207,558,Tournament,2,0,https://www.fanduel.com/entry/BTVEQRQGU,
S39239952,mlb,2014/09/01,$1K Mon MLB Squeeze #2 (Late Afternoon),$35k,42.75,,207,558,Tournament,2,0,https://www.fanduel.com/entry/BUWZQAOCM,
S39239950,mlb,2014/09/01,$1K Mon MLB Squeeze #2 (Late Afternoon),$35k,42.75,,207,558,Tournament,2,0,https://www.fanduel.com/entry/BRRORZUPK,
S39239945,mlb,2014/09/01,$300 Mon MLB Mini Bunt (Late Afternoon),$35k,47.50,,80,335,Tournament,1,0,https://www.fanduel.com/entry/BYQIASTNK,
S39059564,mlb,2014/08/30,$20K Sat MLB Squeeze,$35k,32,,1550,11052,Tournament,2,5.00,https://www.fanduel.com/entry/BGZMPGGSP,
S39059315,mlb,2014/08/30,$20K Sat MLB Squeeze,$35k,23.41,,5918,11052,Tournament,2,0,https://www.fanduel.com/entry/BDGEEZGDN,
S39033293,mlb,2014/08/30,MLB Head-to-head (Late),$35k,37.25,17.5,1,2,kyle4778,1,1.80,https://www.fanduel.com/entry/DFUHAYPBO,
S39033294,mlb,2014/08/30,MLB Head-to-head (Late),$35k,37.25,18.5,1,2,gg2second,2,3.60,https://www.fanduel.com/entry/DAZDQXLUY,
